Date : 2023-12-22 13:55:46
Directory : c:\Users\Daniel\Documents\quanto\quanto-project
Total : 199 files,  31305 codes, 907 comments, 2101 blanks, all 34313 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| backend\project_management_tool\tests                                                                                              |          7 |        307 |          2 |        102 |        411 |
| backend\project_management_tool\views                                                                                              |         56 |      1,853 |        278 |        368 |      2,499 |
| backend\project_management_tool\views (Files)                                                                                      |          4 |        106 |         21 |         26 |        153 |
| backend\project_management_tool\views\basic                                                                                        |          8 |        526 |          1 |         69 |        596 |
| backend\project_management_tool\views\delete                                                                                       |          7 |        156 |          0 |         66 |        222 |
| backend\project_management_tool\views\get                                                                                          |         13 |        307 |        114 |         55 |        476 |
| backend\project_management_tool\views\graphs                                                                                       |          5 |        230 |          1 |         55 |        286 |
| backend\project_management_tool\views\homeScreen                                                                                   |          2 |         21 |          0 |          8 |         29 |
| backend\project_management_tool\views\post                                                                                         |          8 |        336 |         93 |         50 |        479 |
| backend\project_management_tool\views\sql                                                                                          |          3 |         82 |         35 |         18 |        135 |
| backend\project_management_tool\views\time                                                                                         |          2 |         20 |         12 |          6 |         38 |
| backend\project_management_tool\views\timeTable                                                                                    |          2 |         29 |          0 |          8 |         37 |
| backend\project_management_tool\views\update                                                                                       |          2 |         40 |          1 |          7 |         48 |
| backend\quantoserver                                                                                                               |         11 |        525 |        200 |        271 |        996 |
| backend\quantoserver (Files)                                                                                                       |          4 |         17 |         32 |         12 |         61 |
| backend\quantoserver\settings                                                                                                      |          7 |        508 |        168 |        259 |        935 |
| backend\sqlServer                                                                                                                  |          3 |        503 |         45 |         54 |        602 |
| dokumentation                                                                                                                      |          3 |      1,315 |          0 |        166 |      1,481 |
| dokumentation (Files)                                                                                                              |          2 |      1,020 |          0 |        165 |      1,185 |
| dokumentation\images                                                                                                               |          1 |        295 |          0 |          1 |        296 |
| frontend                                                                                                                           |         69 |     24,926 |         80 |        852 |     25,858 |
| frontend\quanto-front                                                                                                              |         69 |     24,926 |         80 |        852 |     25,858 |
| frontend\quanto-front (Files)                                                                                                      |          9 |      4,292 |         18 |         41 |      4,351 |
| frontend\quanto-front\public                                                                                                       |          3 |     17,975 |          4 |        331 |     18,310 |
| frontend\quanto-front\public (Files)                                                                                               |          1 |      6,897 |          0 |          1 |      6,898 |
| frontend\quanto-front\public\bootstrap4-dark-blue                                                                                  |          1 |      5,539 |          2 |        165 |      5,706 |
| frontend\quanto-front\public\bootstrap4-light-blue                                                                                 |          1 |      5,539 |          2 |        165 |      5,706 |
| frontend\quanto-front\src                                                                                                          |         57 |      2,659 |         58 |        480 |      3,197 |
| frontend\quanto-front\src (Files)                                                                                                  |          2 |         53 |         10 |         10 |         73 |
| frontend\quanto-front\src\assets                                                                                                   |          2 |         15 |          0 |          1 |         16 |
| frontend\quanto-front\src\components                                                                                               |         23 |      2,034 |         10 |        320 |      2,364 |
| frontend\quanto-front\src\components (Files)                                                                                       |         19 |      1,815 |         10 |        276 |      2,101 |
| frontend\quanto-front\src\components\demo                                                                                          |          1 |         51 |          0 |         15 |         66 |
| frontend\quanto-front\src\components\graphs                                                                                        |          3 |        168 |          0 |         29 |        197 |
| frontend\quanto-front\src\icons                                                                                                    |          8 |         66 |          0 |          8 |         74 |
| frontend\quanto-front\src\layouts                                                                                                  |          3 |         30 |          0 |         11 |         41 |
| frontend\quanto-front\src\layouts\default                                                                                          |          3 |         30 |          0 |         11 |         41 |
| frontend\quanto-front\src\plugins                                                                                                  |          2 |         21 |         14 |          7 |         42 |
| frontend\quanto-front\src\router                                                                                                   |          1 |        104 |          5 |         29 |        138 |
| frontend\quanto-front\src\service                                                                                                  |          2 |         51 |          8 |         11 |         70 |
| frontend\quanto-front\src\store                                                                                                    |          5 |         45 |          2 |         11 |         58 |
| frontend\quanto-front\src\styles                                                                                                   |          1 |          0 |          9 |          2 |         11 |
| frontend\quanto-front\src\views                                                                                                    |          8 |        240 |          0 |         70 |        310 |
+------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+------------------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                                                                           | language           | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| c:\Users\Daniel\Documents\quanto\quanto-project\ConnectNetwork.cmd                                                                 | Batch              |         16 |          0 |          3 |         19 |
| c:\Users\Daniel\Documents\quanto\quanto-project\README.md                                                                          | Markdown           |          1 |          0 |          0 |          1 |
| c:\Users\Daniel\Documents\quanto\quanto-project\StartServers.cmd                                                                   | Batch              |         24 |          0 |          4 |         28 |
| c:\Users\Daniel\Documents\quanto\quanto-project\backend\.dockerignore                                                              | Ignore             |         28 |          5 |          2 |         35 |
| c:\Users\Daniel\Documents\quanto\quanto-project\backend\Dockerfile                                                                 | Docker             |         12 |          7 |          6 |         25 |
| c:\Users\Daniel\Documents\quanto\quanto-project\backend\README.md                                                                  | Markdown           |          2 |          0 |          1 |          3 |
| c:\Users\Daniel\Documents\quanto\quanto-project\backend\manage.py                                                                  | Python             |         16 |          3 |          5 |         24 |
| c:\Users\Daniel\Documents\quanto\quanto-project\backend\project_management_tool\__init__.py                                        | Python             |          0 |          0 |          1 |          1 |
| c:\Users\Daniel\Documents\quanto\quanto-project\backend\project_management_tool\admin.py                                           | Python             |          1 |          2 |          3 |          6 |
| c:\Users\Daniel\Documents\quanto\quanto-project\backend\project_management_tool\apps.py                                            | Python             |          4 |          1 |          3 |          8 |
| c:\Users\Daniel\Documents\quanto\quanto-project\backend\project_management_tool\dateValidator.py                                   | Python             |         10 |         13 |          2 |         25 |
| c:\Users\Daniel\Documents\quanto\quanto-project\backend\project_management_tool\jsonTemplate.py                                    | Python             |          3 |          0 |          0 |          3 |
| c:\Users\Daniel\Documents\quanto\quanto-project\backend\project_management_tool\middleware\__init__.py                             | Python             |          4 |          0 |          0 |          4 |
| c:\Users\Daniel\Documents\quanto\quanto-project\backend\project_management_tool\middleware\generator\__init__.py                   | Python             |          1 |          0 |          0 |          1 |
| c:\Users\Daniel\Documents\quanto\quanto-project\backend\project_management_tool\middleware\generator\dateGenerator.py              | Python             |         34 |         12 |         24 |         70 |
| c:\Users\Daniel\Documents\quanto\quanto-project\backend\project_management_tool\middleware\sqlQuery\ProjectsOfEmployee.py          | Python             |         34 |          3 |         10 |         47 |
| c:\Users\Daniel\Documents\quanto\quanto-project\backend\project_management_tool\middleware\sqlQuery\__init__.py                    | Python             |          6 |          0 |          0 |          6 |
| c:\Users\Daniel\Documents\quanto\quanto-project\backend\project_management_tool\middleware\sqlQuery\assignedProjects.py            | Python             |         31 |          3 |          6 |         40 |
| c:\Users\Daniel\Documents\quanto\quanto-project\backend\project_management_tool\middleware\sqlQuery\eligiblePositionIds.py         | Python             |         19 |          4 |          5 |         28 |
| c:\Users\Daniel\Documents\quanto\quanto-project\backend\project_management_tool\middleware\sqlQuery\graph\__init__.py              | Python             |          2 |          0 |          0 |          2 |
| c:\Users\Daniel\Documents\quanto\quanto-project\backend\project_management_tool\middleware\sqlQuery\graph\positionQuerys.py        | Python             |         43 |          2 |          5 |         50 |
| c:\Users\Daniel\Documents\quanto\quanto-project\backend\project_management_tool\middleware\sqlQuery\graph\projectQuerys.py         | Python             |         43 |          2 |          4 |         49 |
| c:\Users\Daniel\Documents\quanto\quanto-project\backend\project_management_tool\middleware\sqlQuery\positionBookings.py            | Python             |         33 |          3 |          5 |         41 |
| c:\Users\Daniel\Documents\quanto\quanto-project\backend\project_management_tool\middleware\sqlQuery\timeTable\__init__.py          | Python             |          2 |          0 |          0 |          2 |
| c:\Users\Daniel\Documents\quanto\quanto-project\backend\project_management_tool\middleware\sqlQuery\timeTable\positionQuerys.py    | Python             |          0 |          0 |          1 |          1 |
| c:\Users\Daniel\Documents\quanto\quanto-project\backend\project_management_tool\middleware\sqlQuery\timeTable\projectQuerys.py     | Python             |         46 |          4 |          7 |         57 |
| c:\Users\Daniel\Documents\quanto\quanto-project\backend\project_management_tool\middleware\time\__init__.py                        | Python             |          2 |          0 |          0 |          2 |
| c:\Users\Daniel\Documents\quanto\quanto-project\backend\project_management_tool\middleware\time\dateRange.py                       | Python             |          7 |          1 |          2 |         10 |
| c:\Users\Daniel\Documents\quanto\quanto-project\backend\project_management_tool\middleware\time\roundTime.py                       | Python             |          6 |          2 |          5 |         13 |
| c:\Users\Daniel\Documents\quanto\quanto-project\backend\project_management_tool\middleware\validation\__init__.py                  | Python             |          9 |          0 |          1 |         10 |
| c:\Users\Daniel\Documents\quanto\quanto-project\backend\project_management_tool\middleware\validation\checkExistenceDb.py          | Python             |         29 |         32 |         23 |         84 |
| c:\Users\Daniel\Documents\quanto\quanto-project\backend\project_management_tool\middleware\validation\dateValidator.py             | Python             |         35 |         26 |         10 |         71 |
| c:\Users\Daniel\Documents\quanto\quanto-project\backend\project_management_tool\middleware\validation\enumValidation.py            | Python             |          3 |          0 |          0 |          3 |
| c:\Users\Daniel\Documents\quanto\quanto-project\backend\project_management_tool\middleware\validation\jsonContentValidation.py     | Python             |        183 |         21 |         31 |        235 |
| c:\Users\Daniel\Documents\quanto\quanto-project\backend\project_management_tool\middleware\validation\jsonFormValidator.py         | Python             |        138 |         99 |         21 |        258 |
| c:\Users\Daniel\Documents\quanto\quanto-project\backend\project_management_tool\middleware\validation\jsonUpateConentValidation.py | Python             |         30 |          2 |          9 |         41 |
| c:\Users\Daniel\Documents\quanto\quanto-project\backend\project_management_tool\middleware\validation\jsonUpdateFormValidation.py  | Python             |          7 |          0 |          5 |         12 |
| c:\Users\Daniel\Documents\quanto\quanto-project\backend\project_management_tool\middleware\validation\jsonValidation.py            | Python             |        117 |         26 |         15 |        158 |
| c:\Users\Daniel\Documents\quanto\quanto-project\backend\project_management_tool\middleware\validation\mailValidation.py            | Python             |          6 |         12 |          2 |         20 |
| c:\Users\Daniel\Documents\quanto\quanto-project\backend\project_management_tool\middleware\validation\otherValidaton.py            | Python             |         21 |          0 |          5 |         26 |
| c:\Users\Daniel\Documents\quanto\quanto-project\backend\project_management_tool\migrations\0001_initial.py                         | Python             |        108 |          1 |          7 |        116 |
| c:\Users\Daniel\Documents\quanto\quanto-project\backend\project_management_tool\migrations\__init__.py                             | Python             |          0 |          0 |          1 |          1 |
| c:\Users\Daniel\Documents\quanto\quanto-project\backend\project_management_tool\models.py                                          | Python             |        144 |          3 |         33 |        180 |
| c:\Users\Daniel\Documents\quanto\quanto-project\backend\project_management_tool\templates\HelloWorld.html                          | HTML               |          9 |          0 |          0 |          9 |
| c:\Users\Daniel\Documents\quanto\quanto-project\backend\project_management_tool\tests\__init__.py                                  | Python             |          0 |          0 |          1 |          1 |
| c:\Users\Daniel\Documents\quanto\quanto-project\backend\project_management_tool\tests\test_JsonFormValidation.py                   | Python             |        221 |          0 |         76 |        297 |
| c:\Users\Daniel\Documents\quanto\quanto-project\backend\project_management_tool\tests\test_database.py                             | Python             |          9 |          0 |          3 |         12 |
| c:\Users\Daniel\Documents\quanto\quanto-project\backend\project_management_tool\tests\test_dateValidation.py                       | Python             |         27 |          0 |         10 |         37 |
| c:\Users\Daniel\Documents\quanto\quanto-project\backend\project_management_tool\tests\test_mailValidation.py                       | Python             |         12 |          0 |          3 |         15 |
| c:\Users\Daniel\Documents\quanto\quanto-project\backend\project_management_tool\tests\test_postRoute.py                            | Python             |         38 |          2 |          8 |         48 |
| c:\Users\Daniel\Documents\quanto\quanto-project\backend\project_management_tool\tests\test_updateJsonForm.py                       | Python             |          0 |          0 |          1 |          1 |
| c:\Users\Daniel\Documents\quanto\quanto-project\backend\project_management_tool\urls.py                                            | Python             |         70 |          8 |         17 |         95 |
| c:\Users\Daniel\Documents\quanto\quanto-project\backend\project_management_tool\views\MyViewTest.py                                | Python             |         23 |          0 |          3 |         26 |
| c:\Users\Daniel\Documents\quanto\quanto-project\backend\project_management_tool\views\__init__.py                                  | Python             |         13 |          0 |          1 |         14 |
| c:\Users\Daniel\Documents\quanto\quanto-project\backend\project_management_tool\views\basic\__init__.py                            | Python             |          7 |          0 |          0 |          7 |
| c:\Users\Daniel\Documents\quanto\quanto-project\backend\project_management_tool\views\basic\assignment.py                          | Python             |         75 |          0 |          9 |         84 |
| c:\Users\Daniel\Documents\quanto\quanto-project\backend\project_management_tool\views\basic\booking.py                             | Python             |         77 |          1 |          8 |         86 |
| c:\Users\Daniel\Documents\quanto\quanto-project\backend\project_management_tool\views\basic\employee.py                            | Python             |         81 |          0 |          9 |         90 |
| c:\Users\Daniel\Documents\quanto\quanto-project\backend\project_management_tool\views\basic\forecast.py                            | Python             |         71 |          0 |          8 |         79 |
| c:\Users\Daniel\Documents\quanto\quanto-project\backend\project_management_tool\views\basic\position.py                            | Python             |         64 |          0 |          9 |         73 |
| c:\Users\Daniel\Documents\quanto\quanto-project\backend\project_management_tool\views\basic\project.py                             | Python             |         78 |          0 |         13 |         91 |
| c:\Users\Daniel\Documents\quanto\quanto-project\backend\project_management_tool\views\basic\team.py                                | Python             |         73 |          0 |         13 |         86 |
| c:\Users\Daniel\Documents\quanto\quanto-project\backend\project_management_tool\views\delete\__init__.py                           | Python             |          6 |          0 |          0 |          6 |
| c:\Users\Daniel\Documents\quanto\quanto-project\backend\project_management_tool\views\delete\deleteAssignment.py                   | Python             |         25 |          0 |         11 |         36 |
| c:\Users\Daniel\Documents\quanto\quanto-project\backend\project_management_tool\views\delete\deleteBooking.py                      | Python             |         25 |          0 |         11 |         36 |
| c:\Users\Daniel\Documents\quanto\quanto-project\backend\project_management_tool\views\delete\deleteEmployee.py                     | Python             |         25 |          0 |         11 |         36 |
| c:\Users\Daniel\Documents\quanto\quanto-project\backend\project_management_tool\views\delete\deleteForecast.py                     | Python             |         25 |          0 |         11 |         36 |
| c:\Users\Daniel\Documents\quanto\quanto-project\backend\project_management_tool\views\delete\deleteProject.py                      | Python             |         25 |          0 |         11 |         36 |
| c:\Users\Daniel\Documents\quanto\quanto-project\backend\project_management_tool\views\delete\deleteTeam.py                         | Python             |         25 |          0 |         11 |         36 |
| c:\Users\Daniel\Documents\quanto\quanto-project\backend\project_management_tool\views\get\__init__.py                              | Python             |         12 |          0 |          2 |         14 |
| c:\Users\Daniel\Documents\quanto\quanto-project\backend\project_management_tool\views\get\getAllEmployees.py                       | Python             |         27 |          0 |          3 |         30 |
| c:\Users\Daniel\Documents\quanto\quanto-project\backend\project_management_tool\views\get\getAssignment.py                         | Python             |         26 |         13 |          4 |         43 |
| c:\Users\Daniel\Documents\quanto\quanto-project\backend\project_management_tool\views\get\getBooking.py                            | Python             |         26 |         13 |          4 |         43 |
| c:\Users\Daniel\Documents\quanto\quanto-project\backend\project_management_tool\views\get\getEmployee.py                           | Python             |         26 |         14 |          4 |         44 |
| c:\Users\Daniel\Documents\quanto\quanto-project\backend\project_management_tool\views\get\getEmployeesToProject.py                 | Python             |         32 |          0 |          4 |         36 |
| c:\Users\Daniel\Documents\quanto\quanto-project\backend\project_management_tool\views\get\getForecast.py                           | Python             |         26 |         14 |          4 |         44 |
| c:\Users\Daniel\Documents\quanto\quanto-project\backend\project_management_tool\views\get\getPosition.py                           | Python             |         26 |         14 |          4 |         44 |
| c:\Users\Daniel\Documents\quanto\quanto-project\backend\project_management_tool\views\get\getPositionsOfProjectOfEmployee.py       | Python             |         12 |         11 |          6 |         29 |
| c:\Users\Daniel\Documents\quanto\quanto-project\backend\project_management_tool\views\get\getPositionsToProject.py                 | Python             |         28 |          0 |          4 |         32 |
| c:\Users\Daniel\Documents\quanto\quanto-project\backend\project_management_tool\views\get\getProject.py                            | Python             |         26 |         14 |          4 |         44 |
| c:\Users\Daniel\Documents\quanto\quanto-project\backend\project_management_tool\views\get\getProjectsOfEmployee.py                 | Python             |         14 |          7 |          8 |         29 |
| c:\Users\Daniel\Documents\quanto\quanto-project\backend\project_management_tool\views\get\getTeam.py                               | Python             |         26 |         14 |          4 |         44 |
| c:\Users\Daniel\Documents\quanto\quanto-project\backend\project_management_tool\views\graphs\__init__.py                           | Python             |          4 |          0 |          0 |          4 |
| c:\Users\Daniel\Documents\quanto\quanto-project\backend\project_management_tool\views\graphs\positionGraph.py                      | Python             |         54 |          0 |         10 |         64 |
| c:\Users\Daniel\Documents\quanto\quanto-project\backend\project_management_tool\views\graphs\positionLinearGraph.py                | Python             |         57 |          0 |         10 |         67 |
| c:\Users\Daniel\Documents\quanto\quanto-project\backend\project_management_tool\views\graphs\projectAllPositionsGraph.py           | Python             |         65 |          1 |         19 |         85 |
| c:\Users\Daniel\Documents\quanto\quanto-project\backend\project_management_tool\views\graphs\projectAllPositionsPieGraph.py        | Python             |         50 |          0 |         16 |         66 |
| c:\Users\Daniel\Documents\quanto\quanto-project\backend\project_management_tool\views\homeScreen\__init__.py                       | Python             |          1 |          0 |          0 |          1 |
| c:\Users\Daniel\Documents\quanto\quanto-project\backend\project_management_tool\views\homeScreen\assignedProjects.py               | Python             |         20 |          0 |          8 |         28 |
| c:\Users\Daniel\Documents\quanto\quanto-project\backend\project_management_tool\views\login.py                                     | Python             |         35 |         12 |         14 |         61 |
| c:\Users\Daniel\Documents\quanto\quanto-project\backend\project_management_tool\views\post\__init__.py                             | Python             |          7 |          0 |          0 |          7 |
| c:\Users\Daniel\Documents\quanto\quanto-project\backend\project_management_tool\views\post\assignment.py                           | Python             |         41 |         12 |          6 |         59 |
| c:\Users\Daniel\Documents\quanto\quanto-project\backend\project_management_tool\views\post\booking.py                              | Python             |         44 |         19 |          6 |         69 |
| c:\Users\Daniel\Documents\quanto\quanto-project\backend\project_management_tool\views\post\employee.py                             | Python             |         63 |         24 |         14 |        101 |
| c:\Users\Daniel\Documents\quanto\quanto-project\backend\project_management_tool\views\post\forecast.py                             | Python             |         39 |         12 |          5 |         56 |
| c:\Users\Daniel\Documents\quanto\quanto-project\backend\project_management_tool\views\post\position.py                             | Python             |         48 |          2 |          6 |         56 |
| c:\Users\Daniel\Documents\quanto\quanto-project\backend\project_management_tool\views\post\project.py                              | Python             |         45 |         12 |          5 |         62 |
| c:\Users\Daniel\Documents\quanto\quanto-project\backend\project_management_tool\views\post\team.py                                 | Python             |         49 |         12 |          8 |         69 |
| c:\Users\Daniel\Documents\quanto\quanto-project\backend\project_management_tool\views\sql\__init__.py                              | Python             |          2 |          0 |          0 |          2 |
| c:\Users\Daniel\Documents\quanto\quanto-project\backend\project_management_tool\views\sql\createBookings.py                        | Python             |         41 |         20 |          9 |         70 |
| c:\Users\Daniel\Documents\quanto\quanto-project\backend\project_management_tool\views\sql\createForecast.py                        | Python             |         39 |         15 |          9 |         63 |
| c:\Users\Daniel\Documents\quanto\quanto-project\backend\project_management_tool\views\timeTable\__init__.py                        | Python             |          1 |          0 |          0 |          1 |
| c:\Users\Daniel\Documents\quanto\quanto-project\backend\project_management_tool\views\timeTable\timeTableBooking.py                | Python             |         28 |          0 |          8 |         36 |
| c:\Users\Daniel\Documents\quanto\quanto-project\backend\project_management_tool\views\time\__init__.py                             | Python             |          0 |          0 |          1 |          1 |
| c:\Users\Daniel\Documents\quanto\quanto-project\backend\project_management_tool\views\time\getTime.py                              | Python             |         20 |         12 |          5 |         37 |
| c:\Users\Daniel\Documents\quanto\quanto-project\backend\project_management_tool\views\update\__init__.py                           | Python             |          1 |          0 |          0 |          1 |
| c:\Users\Daniel\Documents\quanto\quanto-project\backend\project_management_tool\views\update\updateAssignment.py                   | Python             |         39 |          1 |          7 |         47 |
| c:\Users\Daniel\Documents\quanto\quanto-project\backend\project_management_tool\views\viewstemp.py                                 | Python             |         35 |          9 |          8 |         52 |
| c:\Users\Daniel\Documents\quanto\quanto-project\backend\quantoserver\__init__.py                                                   | Python             |          1 |          0 |          0 |          1 |
| c:\Users\Daniel\Documents\quanto\quanto-project\backend\quantoserver\asgi.py                                                       | Python             |          4 |          8 |          5 |         17 |
| c:\Users\Daniel\Documents\quanto\quanto-project\backend\quantoserver\settings\__init__.py                                          | Python             |          4 |          0 |          0 |          4 |
| c:\Users\Daniel\Documents\quanto\quanto-project\backend\quantoserver\settings\baran.py                                             | Python             |         84 |         28 |         43 |        155 |
| c:\Users\Daniel\Documents\quanto\quanto-project\backend\quantoserver\settings\base.py                                              | Python             |         84 |         28 |         42 |        154 |
| c:\Users\Daniel\Documents\quanto\quanto-project\backend\quantoserver\settings\baseTest.py                                          | Python             |         84 |         28 |         43 |        155 |
| c:\Users\Daniel\Documents\quanto\quanto-project\backend\quantoserver\settings\docker.py                                            | Python             |         84 |         28 |         44 |        156 |
| c:\Users\Daniel\Documents\quanto\quanto-project\backend\quantoserver\settings\drLaptop.py                                          | Python             |         84 |         28 |         44 |        156 |
| c:\Users\Daniel\Documents\quanto\quanto-project\backend\quantoserver\settings\michele.py                                           | Python             |         84 |         28 |         43 |        155 |
| c:\Users\Daniel\Documents\quanto\quanto-project\backend\quantoserver\urls.py                                                       | Python             |          8 |         16 |          2 |         26 |
| c:\Users\Daniel\Documents\quanto\quanto-project\backend\quantoserver\wsgi.py                                                       | Python             |          4 |          8 |          5 |         17 |
| c:\Users\Daniel\Documents\quanto\quanto-project\backend\requirements.txt                                                           | pip requirements   |         32 |          0 |          0 |         32 |
| c:\Users\Daniel\Documents\quanto\quanto-project\backend\sqlServer\database.sql                                                     | SQL                |        411 |         21 |         28 |        460 |
| c:\Users\Daniel\Documents\quanto\quanto-project\backend\sqlServer\insert.sql                                                       | SQL                |         86 |         23 |         25 |        134 |
| c:\Users\Daniel\Documents\quanto\quanto-project\backend\sqlServer\querys.sql                                                       | SQL                |          6 |          1 |          1 |          8 |
| c:\Users\Daniel\Documents\quanto\quanto-project\backend\xs-security.json                                                           | JSON               |         61 |          0 |          0 |         61 |
| c:\Users\Daniel\Documents\quanto\quanto-project\compose.yml                                                                        | YAML               |         37 |          5 |          2 |         44 |
| c:\Users\Daniel\Documents\quanto\quanto-project\dokumentation\images\ManageProjectNeu.svg                                          | XML                |        295 |          0 |          1 |        296 |
| c:\Users\Daniel\Documents\quanto\quanto-project\dokumentation\main.tex                                                             | LaTeX              |      1,005 |          0 |        163 |      1,168 |
| c:\Users\Daniel\Documents\quanto\quanto-project\dokumentation\quellen.bib                                                          | BibTeX             |         15 |          0 |          2 |         17 |
| c:\Users\Daniel\Documents\quanto\quanto-project\frontend\quanto-front\.env                                                         | Properties         |          3 |          0 |          3 |          6 |
| c:\Users\Daniel\Documents\quanto\quanto-project\frontend\quanto-front\.eslintrc.js                                                 | JavaScript         |         10 |          0 |          1 |         11 |
| c:\Users\Daniel\Documents\quanto\quanto-project\frontend\quanto-front\Dockerfile                                                   | Docker             |          8 |          2 |          5 |         15 |
| c:\Users\Daniel\Documents\quanto\quanto-project\frontend\quanto-front\README.md                                                    | Markdown           |         47 |          0 |         23 |         70 |
| c:\Users\Daniel\Documents\quanto\quanto-project\frontend\quanto-front\index.html                                                   | HTML               |         14 |          0 |          4 |         18 |
| c:\Users\Daniel\Documents\quanto\quanto-project\frontend\quanto-front\jsconfig.json                                                | JSON with Comments |          8 |         12 |          0 |         20 |
| c:\Users\Daniel\Documents\quanto\quanto-project\frontend\quanto-front\package-lock.json                                            | JSON               |      4,109 |          0 |          1 |      4,110 |
| c:\Users\Daniel\Documents\quanto\quanto-project\frontend\quanto-front\package.json                                                 | JSON               |         36 |          0 |          1 |         37 |
| c:\Users\Daniel\Documents\quanto\quanto-project\frontend\quanto-front\public\bootstrap4-dark-blue\theme.css                        | CSS                |      5,539 |          2 |        165 |      5,706 |
| c:\Users\Daniel\Documents\quanto\quanto-project\frontend\quanto-front\public\bootstrap4-light-blue\theme.css                       | CSS                |      5,539 |          2 |        165 |      5,706 |
| c:\Users\Daniel\Documents\quanto\quanto-project\frontend\quanto-front\public\theme.css                                             | CSS                |      6,897 |          0 |          1 |      6,898 |
| c:\Users\Daniel\Documents\quanto\quanto-project\frontend\quanto-front\src\App.vue                                                  | vue                |          6 |          1 |          3 |         10 |
| c:\Users\Daniel\Documents\quanto\quanto-project\frontend\quanto-front\src\assets\app.css                                           | CSS                |          9 |          0 |          0 |          9 |
| c:\Users\Daniel\Documents\quanto\quanto-project\frontend\quanto-front\src\assets\logo.svg                                          | XML                |          6 |          0 |          1 |          7 |
| c:\Users\Daniel\Documents\quanto\quanto-project\frontend\quanto-front\src\components\AddEmployee.vue                               | vue                |        251 |          0 |         17 |        268 |
| c:\Users\Daniel\Documents\quanto\quanto-project\frontend\quanto-front\src\components\BackgroundScreen.vue                          | vue                |          6 |          0 |          4 |         10 |
